Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
RIF-USD,RSK Infrastructure Framework USD,0.122449,-0.004322,-3.41%,116.741M,4.62M,4.62M,4.62M,953.38M
C98-USD,Coin98 USD,0.267794,-0.00423,-1.56%,116.639M,19.854M,19.854M,19.854M,435.556M
RENBTC-USD,renBTC USD,"32,100.86",814.72,0.026,114.911M,"7,917","7,917","7,917","3,579"
HFT22461-USD,Hashflow USD,0.595968,-0.010895,-1.80%,114.898M,15.56M,15.56M,15.56M,192.792M
DEL-USD,Decimal USD,0.033905,-0.0012,-3.42%,114.414M,"213,798","213,798","213,798",3.375B
ALI16876-USD,Artificial Liquid Intelligence USD,0.031843,-0.001208,-3.65%,114.257M,2.208M,2.208M,2.208M,3.588B
WEVER-USD,Wrapped Everscale USD,0.063545,0.000286,0.0045,113.747M,"27,924","27,924","27,924",1.79B
NMR-USD,Numeraire USD,19.17,0.2,0.0106,112.888M,8.876M,8.876M,8.876M,5.889M
MC-USD,Merit Circle USD,0.299169,-0.001703,-0.57%,111.92M,7.723M,7.723M,7.723M,374.102M
DERO-USD,Dero USD,8.3484,-0.0551,-0.66%,112.209M,"312,858","312,858","312,858",13.441M
CHR-USD,Chromia USD,0.161667,-0.001085,-0.67%,110.993M,9.87M,9.87M,9.87M,686.55M
EVER-USD,Everscale USD,0.061437,-0.000833,-1.34%,109.973M,8.437M,8.437M,8.437M,1.79B
SNT-USD,Status USD,0.027733,-0.000806,-2.82%,109.957M,2.789M,2.789M,2.789M,3.965B
SCRT-USD,Secret USD,0.667359,-0.01592,-2.33%,108.977M,1.507M,1.507M,1.507M,163.296M
RBN-USD,Ribbon Finance USD,0.202582,-0.007955,-3.78%,108.148M,"518,937","518,937","518,937",533.847M
GTC10052-USD,Gitcoin USD,1.793,0.0132,0.0074,107.426M,9.88M,9.88M,9.88M,59.913M
CVC-USD,Civic USD,0.107062,-0.002943,-2.68%,107.062M,3.385M,3.385M,3.385M,1B
POLYX-USD,Polymesh USD,0.17486,-0.003451,-1.94%,106.53M,6.897M,6.897M,6.897M,609.232M
NFT9816-USD,APENFT USD,0.00000038,0.0,0.0022,105.282M,11.3M,11.3M,11.3M,277.081T
VUSDC-USD,Venus USDC USD,0.022018,6e-06,0.0003,105.048M,15.176M,15.176M,15.176M,4.771B
COCOS-USD,Cocos-BCX USD,1.467,-0.0719,-4.67%,104.232M,23.427M,23.427M,23.427M,71.052M
DESO-USD,Decentralized Social USD,11.71,0.38,0.0338,103.994M,"292,145","292,145","292,145",8.885M
DENT-USD,Dent USD,0.001049,-1.1e-05,-1.08%,103.837M,3.063M,3.063M,3.063M,99.008B
CTSI-USD,Cartesi USD,0.148082,0.00399,0.0277,103.337M,5.072M,5.072M,5.072M,697.836M
DEXE-USD,DeXe USD,2.814,-0.0531,-1.85%,102.635M,7.508M,7.508M,7.508M,36.473M
UOS-USD,Ultra USD,0.335671,0.01853,0.0584,101.975M,7.018M,7.018M,7.018M,303.794M
REQ-USD,Request USD,0.101299,0.00139,0.0139,101.281M,2.361M,2.361M,2.361M,999.83M
PYR-USD,Pyroblock USD,3.72,0.0766,0.021,101.118M,4.98M,4.98M,4.98M,27.182M
XVS-USD,Venus USD,6.7982,1.9042,0.3891,100.864M,128.324M,128.324M,128.324M,14.837M
GAL11877-USD,Galxe USD,1.8476,-0.0616,-3.23%,100.266M,12.504M,12.504M,12.504M,54.267M
ONG3217-USD,Ontology Gas USD,0.294436,-0.005707,-1.90%,100.047M,2.542M,2.542M,2.542M,339.792M
SYN12147-USD,Synapse USD,0.712239,-0.042188,-5.59%,99.552M,13.679M,13.679M,13.679M,139.773M
REN-USD,Ren USD,0.099523,-0.001539,-1.52%,99.427M,14.613M,14.613M,14.613M,999.038M
RBTC-USD,Rootstock Smart Bitcoin USD,"27,966.78",29.29,0.001,99.402M,"36,030","36,030","36,030","3,554"
MVL-USD,MVL USD,0.004327,-8.1e-05,-1.84%,98.876M,1.967M,1.967M,1.967M,22.853B
NKN-USD,NKN USD,0.131816,0.015564,0.1339,99.499M,18.753M,18.753M,18.753M,754.831M
CFG-USD,Centrifuge USD,0.272286,0.006811,0.0257,98.095M,"937,581","937,581","937,581",360.263M
PROM-USD,Prom USD,5.3787,0.6589,0.1396,98.161M,31.495M,31.495M,31.495M,18.25M
DKA-USD,dKargo USD,0.03857,-0.006998,-15.36%,97.47M,76.818M,76.818M,76.818M,2.527B
XCN18679-USD,Onyxcoin USD,0.004142,-0.000111,-2.62%,97.271M,8.298M,8.298M,8.298M,23.483B
ARDR-USD,Ardor USD,0.097285,-0.00398,-3.93%,97.187M,3.804M,3.804M,3.804M,998.999M
HUM-USD,Humanscape USD,0.10316,4.9e-05,0.0005,94.228M,3.583M,3.583M,3.583M,913.409M
STEEM-USD,Steem USD,0.217015,-0.007806,-3.47%,93.579M,8.088M,8.088M,8.088M,431.211M
USDX6651-USD,USDX [Kava] USD,0.828053,-0.000853,-0.10%,92.384M,"582,599","582,599","582,599",111.567M
VGX-USD,Voyager Token USD,0.331528,-0.001194,-0.36%,92.325M,12.937M,12.937M,12.937M,278.482M
ORBS-USD,Orbs USD,0.032013,-0.001697,-5.03%,92.094M,5.88M,5.88M,5.88M,2.877B
EWT-USD,Energy Web Token USD,3.0614,-0.0365,-1.18%,92.031M,"903,214","903,214","903,214",30.062M
BNT-USD,Bancor USD,0.571465,-0.002429,-0.42%,92.127M,4.498M,4.498M,4.498M,161.212M
RAD-USD,Radicle USD,1.8473,0.0184,0.0101,92.049M,10.892M,10.892M,10.892M,49.829M
WILD-USD,Wilder World USD,0.367806,-0.00646,-1.73%,91.838M,"588,620","588,620","588,620",249.692M
POWR-USD,Powerledger USD,0.189721,-0.005491,-2.81%,91.111M,3.378M,3.378M,3.378M,480.238M
PENDLE-USD,Pendle USD,0.450187,-0.060222,-11.80%,90.086M,1.412M,1.412M,1.412M,200.107M
GRV-USD,Grove Coin USD,0.946765,0.135495,0.167,90.022M,16.801M,16.801M,16.801M,95.083M
MBOX-USD,MOBOX USD,0.480504,-0.008627,-1.76%,89.469M,18.185M,18.185M,18.185M,186.198M
LOCUS-USD,Locus Chain USD,0.042959,-0.002227,-4.93%,89.4M,"487,208","487,208","487,208",2.081B
STPT-USD,STP USD,0.048277,-0.002221,-4.40%,89.047M,6.638M,6.638M,6.638M,1.845B
NYM-USD,NYM USD,0.226432,-0.002857,-1.25%,89.067M,1.01M,1.01M,1.01M,393.351M
COTI-USD,COTI USD,0.075206,-0.000633,-0.83%,88.462M,3.487M,3.487M,3.487M,1.176B
ALPHA-USD,Alpha Venture DAO USD,0.113828,0.001807,0.0161,88.103M,3.531M,3.531M,3.531M,774M
TOMI23246-USD,tomiNet USD,2.1946,-0.1393,-5.97%,86.999M,9.09M,9.09M,9.09M,39.642M
MRS21178-USD,Metars Genesis USD,1.3799,-0.0404,-2.85%,86.724M,"108,857","108,857","108,857",62.85M
STRAX-USD,Stratis USD,0.583087,-0.01327,-2.23%,86.249M,4.307M,4.307M,4.307M,147.918M
REP-USD,Augur USD,7.8063,-0.2143,-2.67%,85.869M,9.941M,9.941M,9.941M,11M
HOOK-USD,Hooked Protocol USD,1.703,-0.0057,-0.33%,85.151M,17.152M,17.152M,17.152M,50M
VTHO-USD,VeThor Token USD,0.001387,-1.1e-05,-0.76%,84.826M,1.212M,1.212M,1.212M,61.156B
CQT-USD,Covalent USD,0.158075,0.000766,0.0049,83.799M,2.432M,2.432M,2.432M,530.12M
POND-USD,Marlin USD,0.010333,0.000227,0.0224,83.571M,4.816M,4.816M,4.816M,8.087B
MTL-USD,Metal DAO USD,1.2547,-0.0313,-2.43%,83.552M,16.352M,16.352M,16.352M,66.589M
WIN-USD,WINkLink USD,0.000087,0.0,-0.33%,83.322M,7.406M,7.406M,7.406M,961.737B
SPELL-USD,Spell Token USD,0.000764,-1.8e-05,-2.32%,82.084M,9.878M,9.878M,9.878M,107.406B
ERG-USD,Ergo USD,1.3977,-0.0339,-2.37%,81.959M,"265,619","265,619","265,619",58.638M
CEL-USD,Celsius USD,0.341797,0.007297,0.0218,81.643M,"761,355","761,355","761,355",238.864M
MNW-USD,Morpheus.Network USD,1.7318,0.0197,0.0115,81.705M,"320,393","320,393","320,393",47.18M
ALICE-USD,MyNeighborAlice USD,1.6917,0.0424,0.0257,81.318M,29.126M,29.126M,29.126M,48.068M
PHA-USD,Phala Network USD,0.150494,0.002417,0.0163,80.769M,8.122M,8.122M,8.122M,536.69M
FX-USD,Function X USD,0.197544,0.000574,0.0029,80.701M,"139,061","139,061","139,061",408.52M
IQ-USD,IQ USD,0.006447,-0.000139,-2.12%,80.724M,3.757M,3.757M,3.757M,12.521B
DODO-USD,DODO USD,0.177333,-0.000937,-0.53%,80.705M,14.409M,14.409M,14.409M,455.105M
NU-USD,NuCypher USD,0.114397,-0.000532,-0.46%,80.421M,"8,325","8,325","8,325",703M
TSUKA-USD,Dejitaru Tsuka USD,0.078957,-0.004532,-5.43%,78.957M,1.742M,1.742M,1.742M,1B
AVINOC-USD,AVINOC USD,0.200379,0.001311,0.0066,77.996M,"216,127","216,127","216,127",389.244M
AURA21532-USD,Aura Finance USD,3.0177,-0.0996,-3.20%,76.523M,"419,823","419,823","419,823",25.358M
CTC-USD,Creditcoin USD,0.356703,-0.011332,-3.08%,76.5M,12.876M,12.876M,12.876M,214.464M
ARRR-USD,Pirate Chain USD,0.389775,-0.005733,-1.45%,76.416M,"87,193","87,193","87,193",196.051M
WNXM-USD,Wrapped NXM USD,26.1,-0.38,-1.43%,75.579M,3.664M,3.664M,3.664M,2.896M
XPLA-USD,XPLA USD,0.508694,-0.009823,-1.89%,75.542M,"70,812","70,812","70,812",148.503M
MDX-USD,Mdex USD,0.079015,0.003558,0.0472,75.084M,5.583M,5.583M,5.583M,950.247M
RACA-USD,RACA USD,0.00022,-7e-06,-3.15%,73.639M,7.098M,7.098M,7.098M,334.652B
CTK4807-USD,Shentu USD,0.802687,-0.007042,-0.87%,72.82M,1.922M,1.922M,1.922M,90.72M
DUSK-USD,Dusk Network USD,0.172098,-0.002311,-1.33%,72.482M,3.748M,3.748M,3.748M,421.164M
TRU7725-USD,TrueFi USD,0.071248,0.001543,0.0221,72.428M,10.019M,10.019M,10.019M,1.017B
TLM-USD,Alien Worlds USD,0.020669,-0.000188,-0.90%,72.389M,11.417M,11.417M,11.417M,3.502B
LOOM-USD,Loom Network USD,0.063674,-0.001477,-2.27%,72.106M,10.436M,10.436M,10.436M,1.132B
XSGD-USD,XSGD USD,0.746066,0.000185,0.0002,71.914M,"207,716","207,716","207,716",96.391M
RDNT-USD,Radiant Capital USD,0.316785,-0.006667,-2.06%,71.747M,18.297M,18.297M,18.297M,226.484M
BSW-USD,Biswap USD,0.188847,0.005739,0.0313,70.444M,37.833M,37.833M,37.833M,373.024M
QKC-USD,QuarkChain USD,0.010959,-0.000135,-1.22%,70.134M,2M,2M,2M,6.4B
XYO-USD,XYO USD,0.005386,3.5e-05,0.0065,69.184M,"914,836","914,836","914,836",12.845B
WRX-USD,WazirX USD,0.180707,-0.000279,-0.15%,69.004M,1.382M,1.382M,1.382M,381.857M
LINA7102-USD,Linear Finance USD,0.013856,-0.001171,-7.79%,68.949M,44.482M,44.482M,44.482M,4.976B
FUN-USD,FUNToken USD,0.006283,-1.9e-05,-0.29%,68.881M,"798,312","798,312","798,312",10.963B
CEEK-USD,CEEK VR USD,0.085045,-0.000584,-0.68%,68.523M,2.62M,2.62M,2.62M,805.718M
VOLT19650-USD,Volt Inu V2 USD,0.00000124,-2e-08,-1.95%,68.152M,17.954M,17.954M,17.954M,54.766T
WMT-USD,World Mobile Token USD,0.173286,-0.003264,-1.85%,66.92M,"726,337","726,337","726,337",386.181M
ACA-USD,Acala Token USD,0.101053,0.000393,0.0039,66.859M,3.729M,3.729M,3.729M,661.625M
HIGH-USD,Highstreet USD,1.9328,-0.0179,-0.92%,66.765M,18.805M,18.805M,18.805M,34.543M
LOOKS-USD,LooksRare USD,0.141912,-0.005526,-3.75%,66.633M,4.329M,4.329M,4.329M,469.539M
BFC7817-USD,Bifrost USD,0.060772,0.000495,0.0082,66.149M,"282,903","282,903","282,903",1.088B
SAITAMA20513-USD,Saitama USD,0.001655,-5.9e-05,-3.46%,63.904M,2.208M,2.208M,2.208M,38.606B
KLV-USD,Klever USD,0.007187,-0.000211,-2.86%,63.822M,1.539M,1.539M,1.539M,8.881B
OGN-USD,Origin Protocol USD,0.124986,0.000762,0.0061,63.688M,8.782M,8.782M,8.782M,509.558M
BETA-USD,Beta Finance USD,0.094022,0.00031,0.0033,63.678M,24.299M,24.299M,24.299M,677.273M
ORC-USD,Orclands Metaverse USD,0.099471,-0.001839,-1.82%,63.648M,"593,219","593,219","593,219",639.865M
REEF-USD,Reef USD,0.002768,-1.6e-05,-0.58%,62.478M,12.841M,12.841M,12.841M,22.574B
CORE-USD,cVault.finance USD,"6,242.42",-57.44,-0.91%,62.424M,"7,526","7,526","7,526","10,000"
VRA-USD,Verasity USD,0.006078,-0.000169,-2.70%,62.642M,6.94M,6.94M,6.94M,10.306B
XCAD-USD,XCAD Network USD,1.5132,-0.0126,-0.83%,61.924M,1.384M,1.384M,1.384M,40.922M
TOMO-USD,TomoChain USD,0.65112,0.00372,0.0057,61.808M,9.161M,9.161M,9.161M,94.925M
VERI-USD,Veritaseum USD,28.75,-1.13,-3.80%,61.8M,"1,344","1,344","1,344",2.15M
OXT-USD,Orchid USD,0.089046,0.000592,0.0067,61.503M,3.395M,3.395M,3.395M,690.69M
SOLO-USD,Sologenic USD,0.152873,0.000753,0.005,61.141M,"516,409","516,409","516,409",399.948M
RLY-USD,Rally USD,0.012409,2.7e-05,0.0022,61.082M,1.244M,1.244M,1.244M,4.922B
CCD-USD,Concordium USD,0.008905,0.00057,0.0684,60.878M,"581,536","581,536","581,536",6.837B
LAT-USD,PlatON USD,0.015888,-0.000494,-3.01%,60.587M,"966,093","966,093","966,093",3.813B
ERN-USD,Ethernity USD,3.4006,1.4044,0.7036,59.819M,461.169M,461.169M,461.169M,17.591M
RSS3-USD,RSS3 USD,0.162503,0.000956,0.0059,59.429M,1.196M,1.196M,1.196M,365.713M
YGG-USD,Yield Guild Games USD,0.262138,0.00251,0.0097,59.315M,24.15M,24.15M,24.15M,226.276M
VBUSD-USD,Venus BUSD USD,0.022007,-2e-06,-0.01%,59.303M,9.293M,9.293M,9.293M,2.695B
ATA-USD,Automata Network USD,0.163153,-0.004799,-2.86%,59.109M,5.597M,5.597M,5.597M,362.292M
AERGO-USD,Aergo USD,0.134572,-0.001523,-1.12%,58.539M,5.663M,5.663M,5.663M,435M
STMX-USD,StormX USD,0.005852,-0.00018,-2.99%,58.519M,6.159M,6.159M,6.159M,10B
ANKRETH-USD,Ankr Staked ETH USD,"1,991.46",-31.78,-1.57%,58.41M,"144,588","144,588","144,588","29,330"
VAI-USD,Vai USD,1.0009,0.0262,0.0269,57.549M,"7,562","7,562","7,562",57.499M
SUN-USD,Sun (New) USD,0.006167,-0.000129,-2.05%,57.386M,10.277M,10.277M,10.277M,9.305B
SFUND-USD,Seedify.fund USD,1.172,0.0445,0.0394,56.938M,2.151M,2.151M,2.151M,48.584M
MOVR-USD,Moonriver USD,8.5088,0.1909,0.023,56.803M,3.719M,3.719M,3.719M,6.676M
ARK-USD,Ark USD,0.333886,-0.006681,-1.96%,56.686M,4.944M,4.944M,4.944M,169.777M
NEXA-USD,Nexa USD,0.000025,-2e-06,-7.48%,56.414M,1.48M,1.48M,1.48M,2.251T
UTK-USD,Utrust USD,0.112533,-0.00361,-3.11%,56.266M,8.736M,8.736M,8.736M,500M
TKO-USD,Toko Token USD,0.349736,0.005484,0.0159,56.155M,3.771M,3.771M,3.771M,160.564M
CBK-USD,Cobak Token USD,0.762557,-0.042126,-5.24%,55.818M,34.112M,34.112M,34.112M,73.199M
SUPER8290-USD,SuperVerse USD,0.138353,0.000772,0.0056,55.871M,6.701M,6.701M,6.701M,403.83M
CHNG-USD,Chainge USD,0.139177,-0.000675,-0.48%,55.651M,2.008M,2.008M,2.008M,399.854M
DAWN-USD,Dawn Protocol USD,0.747047,-0.006153,-0.82%,55.628M,1.611M,1.611M,1.611M,74.464M
MFT-USD,Hifi Finance (Old) USD,0.005517,-0.00024,-4.16%,55.172M,"650,096","650,096","650,096",10B
BADGER-USD,Badger DAO USD,2.837,0.1359,0.0503,54.618M,21.276M,21.276M,21.276M,19.252M
SSX-USD,SOMESING USD,0.019723,-0.001292,-6.15%,54.552M,2.413M,2.413M,2.413M,2.766B
VLX-USD,Velas USD,0.02234,0.000696,0.0322,54.414M,1.353M,1.353M,1.353M,2.436B
FORTH-USD,Ampleforth Governance Token USD,3.5536,-0.0515,-1.43%,54.226M,9.221M,9.221M,9.221M,15.259M
AXEL-USD,AXEL USD,0.191534,-0.000833,-0.43%,54.224M,"65,202","65,202","65,202",283.103M
LCX-USD,LCX USD,0.070225,-0.000189,-0.27%,54.184M,"497,454","497,454","497,454",771.585M
DAG-USD,Constellation USD,0.041926,-4.9e-05,-0.12%,53.117M,"571,768","571,768","571,768",1.267B
MTRG-USD,Meter Governance USD,3.1159,-0.127,-3.91%,53.051M,"106,438","106,438","106,438",17.026M
DAR-USD,Mines of Dalarnia USD,0.170622,0.000247,0.0015,52.977M,17.497M,17.497M,17.497M,310.491M
MBL-USD,MovieBloc USD,0.003321,-6.6e-05,-1.95%,52.763M,10.525M,10.525M,10.525M,15.885B
QUACK-USD,RichQUACK.com USD,0,0.0,-1.96%,52.414M,"922,304","922,304","922,304","44,085.962T"
WAN-USD,Wanchain USD,0.266382,-0.003885,-1.44%,52.309M,"961,614","961,614","961,614",196.367M
ZEON-USD,ZEON USD,0.001713,0.000369,0.2746,52.287M,"14,522","14,522","14,522",30.529B
XPRT-USD,Persistence USD,0.325141,0.002008,0.0062,52.099M,"539,772","539,772","539,772",160.235M
META-USD,Metadium USD,0.030801,-0.002568,-7.70%,51.973M,9.392M,9.392M,9.392M,1.687B
RKN-USD,Rakon USD,0.213598,-0.00153,-0.71%,51.874M,"35,300","35,300","35,300",242.857M
STRK-USD,Strike USD,14.03,-0.47,-3.22%,51.498M,3.066M,3.066M,3.066M,3.67M
VEGA-USD,Vega Protocol USD,1.0968,-0.0116,-1.05%,51.347M,"526,838","526,838","526,838",46.816M
PERP-USD,Perpetual Protocol USD,0.776554,-0.001269,-0.16%,51.254M,4.131M,4.131M,4.131M,66.002M
MXC-USD,MXC USD,0.019337,-0.00025,-1.27%,51.091M,1.757M,1.757M,1.757M,2.642B
ARPA-USD,ARPA USD,0.040832,-0.000388,-0.94%,50.75M,15.719M,15.719M,15.719M,1.243B
WVLX-USD,Wrapped Velas USD,0.022035,-3e-06,-0.02%,50.222M,88,88,88,2.279B
ALPINE-USD,Alpine F1 Team Fan Token USD,4.3325,1.3126,0.4347,49.217M,711.747M,711.747M,711.747M,11.36M
AMPL-USD,Ampleforth USD,1.069,-0.0014,-0.14%,49.208M,"162,034","162,034","162,034",46.031M
NEST-USD,NEST Protocol USD,0.016818,-0.000152,-0.90%,48.969M,"925,365","925,365","925,365",2.912B
TT-USD,ThunderCore USD,0.004791,-8.6e-05,-1.76%,48.81M,3.534M,3.534M,3.534M,10.189B
EFI-USD,Efinity Token USD,0.078081,-0.000497,-0.63%,48.571M,"546,297","546,297","546,297",622.052M
GHST-USD,Aavegotchi USD,1.0748,0.006,0.0056,48.468M,3.708M,3.708M,3.708M,45.096M
COL-USD,Clash of Lilliput USD,0.58588,-0.027725,-4.52%,48.056M,"116,315","116,315","116,315",82.024M
CTXC-USD,Cortex USD,0.226202,0.003636,0.0163,47.662M,4.817M,4.817M,4.817M,210.704M
FNCY-USD,FNCY USD,0.059849,-0.000901,-1.48%,47.654M,"65,715","65,715","65,715",796.236M
FLM-USD,Flamingo USD,0.102705,0.000619,0.0061,47.564M,2.885M,2.885M,2.885M,463.11M
LTO-USD,LTO Network USD,0.114822,0.007351,0.0684,47.421M,17.205M,17.205M,17.205M,413M
NVIR-USD,NvirWorld USD,0.047162,-0.003006,-5.99%,47.333M,1.741M,1.741M,1.741M,1.004B
KEY-USD,SelfKey USD,0.008793,-0.000243,-2.69%,46.649M,9.375M,9.375M,9.375M,5.305B
RAY-USD,Raydium USD,0.233925,-0.005254,-2.20%,46.639M,3.936M,3.936M,3.936M,199.377M
GODS-USD,Gods Unchained USD,0.222366,-0.00017,-0.08%,46.517M,"913,685","913,685","913,685",209.191M
IRIS-USD,IRISnet USD,0.032118,-0.001453,-4.33%,46.416M,1.531M,1.531M,1.531M,1.445B
RARE11294-USD,SuperRare USD,0.12818,0.00527,0.0429,46.036M,6.038M,6.038M,6.038M,359.147M
FCTFCT2-USD,FirmaChain USD,0.071008,-0.00179,-2.46%,45.797M,15.496M,15.496M,15.496M,644.955M
MLN-USD,Enzyme USD,22.39,0.11,0.0051,45.652M,4.021M,4.021M,4.021M,2.039M
SUSD-USD,sUSD USD,0.995379,-0.002327,-0.23%,45.64M,1.338M,1.338M,1.338M,45.852M
REV2135-USD,Revain USD,0.000535,5e-05,0.1041,45.484M,"315,494","315,494","315,494",85.061B
SRM-USD,Serum USD,0.172789,-0.009611,-5.27%,45.486M,16.044M,16.044M,16.044M,263.245M
ALPACA-USD,Alpaca Finance USD,0.296201,0.002377,0.0081,45.098M,3.605M,3.605M,3.605M,152.253M
AOG-USD,smARTOFGIVING USD,0.605607,0.001436,0.0024,44.682M,"75,412","75,412","75,412",73.78M
BLOK-USD,Bloktopia USD,0.002547,-7.1e-05,-2.69%,44.665M,"490,664","490,664","490,664",17.537B
UQC-USD,Uquid Coin USD,4.454,-0.1246,-2.72%,44.54M,"130,362","130,362","130,362",10M
TABOO-USD,TABOO TOKEN USD,0.004529,0.000648,0.1671,44.307M,"949,759","949,759","949,759",9.783B
CBG-USD,Chainbing USD,1.3391,-0.0519,-3.73%,44.192M,"6,578","6,578","6,578",33M
YFII-USD,DFI.Money USD,"1,137.12",42.17,0.0385,43.888M,12.577M,12.577M,12.577M,"38,596"
DPI-USD,DeFi Pulse Index USD,78.43,-1.48,-1.85%,43.84M,"39,896","39,896","39,896","558,983"
POLS-USD,Polkastarter USD,0.441503,-0.005253,-1.18%,43.807M,2.864M,2.864M,2.864M,99.221M
LIT6833-USD,Litentry USD,1.1043,0.0254,0.0236,43.753M,12.688M,12.688M,12.688M,39.619M
KSP-USD,KLAYswap Protocol USD,0.788622,-0.014581,-1.82%,43.216M,"242,121","242,121","242,121",54.799M
OG-USD,OriginDAO USD,11.17,-1.95,-14.83%,43.102M,721.021M,721.021M,721.021M,3.858M
HUNT-USD,HUNT USD,0.389802,-0.012564,-3.12%,43.018M,3.31M,3.31M,3.31M,110.357M
CRE-USD,Carry USD,0.004872,-6.6e-05,-1.33%,42.826M,7.871M,7.871M,7.871M,8.791B
QLC-USD,Kepple USD,0.071326,-0.002307,-3.13%,42.795M,3.031M,3.031M,3.031M,600M
GFT-USD,Gifto USD,0.042481,-0.001492,-3.39%,42.45M,5.231M,5.231M,5.231M,999.272M
XVG-USD,Verge USD,0.002566,5.3e-05,0.0209,42.384M,3.757M,3.757M,3.757M,16.519B
QUICK-USD,QuickSwap USD,82.32,-1.24,-1.49%,42.315M,2.86M,2.86M,2.86M,"513,997"
ETN-USD,Electroneum USD,0.002351,1.3e-05,0.0056,42.189M,"16,796","16,796","16,796",17.943B
TLOS-USD,Telos USD,0.155583,0.008184,0.0555,42.027M,2.794M,2.794M,2.794M,270.123M
XWC-USD,WhiteCoin USD,0.054741,-0.002237,-3.93%,41.84M,"699,765","699,765","699,765",764.325M
BAR-USD,FC Barcelona Fan Token USD,4.436,-0.0775,-1.72%,41.722M,46.483M,46.483M,46.483M,9.405M
ZBC-USD,Zebec Protocol USD,0.017608,-0.000271,-1.51%,41.684M,14.971M,14.971M,14.971M,2.367B
TVK-USD,Virtua USD,0.041615,0.001331,0.033,41.588M,18.761M,18.761M,18.761M,999.349M
PHB-USD,Phoenix USD,1.0356,0.0053,0.0052,41.184M,9.086M,9.086M,9.086M,39.768M
MOC-USD,Moss Coin USD,0.107884,0.002296,0.0217,40.955M,7.924M,7.924M,7.924M,379.624M
CUSD-USD,Celo Dollar USD,0.9971,-0.0007,-0.07%,40.879M,1.895M,1.895M,1.895M,40.998M
BIFI7311-USD,Beefy Finance USD,503.48,-21.27,-4.05%,40.278M,1.441M,1.441M,1.441M,"80,000"
PRO-USD,Prometheus USD,0.484825,0.016435,0.0351,39.78M,"415,699","415,699","415,699",82.05M
QUICK19966-USD,Quickswap[New] USD,0.075023,-0.003846,-4.88%,39.762M,1.74M,1.74M,1.74M,530M
BITCI-USD,Bitcicoin USD,0.005146,0.000138,0.0276,39.67M,"423,456","423,456","423,456",7.709B
MDT-USD,Measurable Data Token USD,0.058552,-0.00082,-1.38%,39.59M,6.893M,6.893M,6.893M,676.157M
ONUS-USD,ONUS USD,0.407323,-0.028083,-6.45%,39.554M,35,35,35,97.106M
SWEAT-USD,Sweat Economy USD,0.008867,-0.000124,-1.37%,39.484M,1.087M,1.087M,1.087M,4.453B
HIFI23037-USD,Hifi Finance USD,0.415082,-0.014247,-3.32%,39.438M,3.504M,3.504M,3.504M,95.013M
NPT-USD,NEOPIN USD,1.2486,-0.0198,-1.56%,39.418M,"651,909","651,909","651,909",31.57M
OPUL-USD,Opulous USD,0.17167,0.015348,0.0982,39.066M,1.574M,1.574M,1.574M,227.564M
BAKE-USD,BakeryToken USD,0.200732,-0.000909,-0.45%,38.848M,7.986M,7.986M,7.986M,193.529M
EXRD-USD,e-Radix USD,0.052777,0.001429,0.0278,38.783M,"554,405","554,405","554,405",734.835M
DG8833-USD,DeGate USD,0.177714,-0.001014,-0.57%,38.571M,"1,894","1,894","1,894",217.041M
BOBA-USD,Boba Network USD,0.224531,-0.005353,-2.33%,38.535M,1.359M,1.359M,1.359M,171.624M
LOKA-USD,League of Kingdoms Arena USD,0.520161,0.015728,0.0312,38.427M,20.786M,20.786M,20.786M,73.875M
VRSC-USD,VerusCoin USD,0.526787,0.004511,0.0086,38.398M,"14,564","14,564","14,564",72.892M
ADS-USD,Adshares USD,0.970047,-0.010303,-1.05%,37.592M,"511,621","511,621","511,621",38.752M
KMD-USD,Komodo USD,0.275394,0.001829,0.0067,37.441M,"849,278","849,278","849,278",135.954M
AUCTION-USD,Bounce Token USD,5.755,0.0446,0.0078,37.408M,6.363M,6.363M,6.363M,6.5M
AGLA-USD,Angola USD,0.077545,-0.000655,-0.84%,36.869M,"111,460","111,460","111,460",475.45M
IDEX-USD,IDEX USD,0.054921,0.000165,0.003,37.009M,7.447M,7.447M,7.447M,673.859M
CLV-USD,CLV USD,0.063009,0.001096,0.0177,36.759M,9.146M,9.146M,9.146M,583.388M
WXT-USD,Wirex Token USD,0.003659,-5.4e-05,-1.45%,36.589M,"145,430","145,430","145,430",10B
POLIS11213-USD,Star Atlas DAO USD,0.238341,-0.007321,-2.98%,36.468M,"312,524","312,524","312,524",153.006M
UFO10729-USD,UFO Gaming USD,0.0000014,-1e-08,-0.67%,36.173M,"610,255","610,255","610,255",25.758T
DIA-USD,DIA USD,0.382945,0.005853,0.0155,36.107M,3.435M,3.435M,3.435M,94.287M
LYRA15447-USD,Lyra USD,0.103314,0.001878,0.0185,36.098M,"285,423","285,423","285,423",349.399M
AGLD-USD,Adventure Gold USD,0.51063,0.049109,0.1064,35.831M,50.764M,50.764M,50.764M,70.17M
QI9288-USD,BENQI USD,0.010124,0.00036,0.0369,35.637M,9.057M,9.057M,9.057M,3.52B
